"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website","Umsatz_EUR","Gewinn_EUR","Anlagevermoegen_EUR","Finanz_Jahr","Finanz_Quelle"
"TEMS GmbH","Ing. Alexander Kuchelbacher","+43 1 3914000","Hosnedlgasse 16","1220","Wien","IT-Systemhaus","10-49","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.tems.at","","","","",""
"ACP IT Solutions GmbH","Ing. Mag. Wolfgang Burda; Mag. Edwin Klinglhuber","+43 1 89193-0","Wagenseilgasse 3","1120","Wien","IT-Systemhaus","","Recherche","WKO/Herold","2026-08-08","https://www.acp.at","","","","",""
"v-connect Systemhaus GmbH","Dipl.-Ing. Dr. Larissa Naber; Dipl.-Ing. Christian Kantner; Daniel Jahre","","Kaiserstraße 101/1/8","1070","Wien","IT-Systemhaus / ICT-Consulting","","Recherche","WKO firmen.wko.at","2026-08-08","https://v-connect.io","","","","",""
"WienIT GmbH","Mag. Gerald Stöckl, MSc","+43 5 90405 0","Thomas-Klestil-Platz 13","1030","Wien","IT-Dienstleistung (Konzern-IT)","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.wienit.at","","","","",""
"IXSOL - innovative solutions GmbH","Mag.(FH) Christoph Gschier; Jakob Hager","+43 1 5810130","Millergasse 21/2","1060","Wien","IT-Dienstleistung / Webagentur","10-49","Recherche","WKO/firmenabc.at","2026-08-08","https://www.ixsol.at","","","","",""
"laufwerk.it EDV-Dienstleistungen GmbH","Alexander Mantl","+43 1 890 15 82-0","Südrandstraße 7","1230","Wien","IT-Dienstleistung / EDV-Betreuung","","Recherche","WKO/firmenwissen.de","2026-08-08","https://www.laufwerk.it","","","","",""
"HerrHuber Innovation IT GmbH","Christian Huber","+43 1 3910300","Schloßgasse 13/3/3","1050","Wien","IT-Systemhaus","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.herrhuber.at","","","","",""
"SC 24 Styll GmbH","Mehmet Cihan Yildiz","+43 1 983 83 89","Deutschstraße 4","1230","Wien","IT-Systemhaus / IT-Support","1-9","Recherche","WKO/Handelsgericht Wien","2026-08-08","https://www.sc24.at","","","","",""
"Soroban IT-Beratung GmbH","Dr. Andreas Theodor Manak","+43 1 975 57 77","Teinfaltstraße 8/5.01","1010","Wien","IT-Beratung","","Recherche","WKO/Firmenbuch","2026-08-08","https://soroban-it.com","","","","",""
"Decidio GmbH","Joshua Dippenaar, Fredrik Gustafsson, Gerhard Handler","+43 1 9974231","Argentinierstraße 39/3","1040","Wien","IT-Beratung / Datenschutz","","Recherche","WKO/Firmenbuch","2026-08-08","https://www.decidio.cc","","","","",""
"DDSB.AT Beratung GmbH","Mag. Günther Zikulnig; DKff. Anke Obersteiner","+43 1 42000 5050","Sorgogasse 10/32","1130","Wien","Unternehmensberatung - Digitalisierung","","Recherche","WKO/Impressum","2026-08-08","https://www.ddsb.at","","","","",""
"IOT – Individuum Organisation Technologie Beratung und Management GmbH","","+43 1 5038620","Paulusgasse 13","1030","Wien","IT-Beratung","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.iot.at","","","","",""
"consigma Management Beratung GmbH","Dr. Philip Weihs; Christoph Höpler","","Servitengasse 11/5+7","1090","Wien","IT-Management-Beratung","","Recherche","WKO/Herold","2026-08-08","https://www.consigma.at","","","","",""
"digitalberatung GmbH","Gerhard Wehe","+43 660 7132422","Theresiengasse 23","1180","Wien","IT-Beratung / Digitalisierung","10-49","Recherche","WKO/Herold/Firmenbuch","2026-08-08","https://www.digitalberatung.at","","","","",""
"Snap Consulting – Systemnahe Anwendungsprogrammierung und Beratung GmbH","Ing. Christian Knell","+43 1 617 57 84","Kölblgasse 8-10/2.OG","1030","Wien","SAP-Beratung / IT-Consulting","","Recherche","WKO/Herold/Firmenbuch","2026-08-08","https://www.snapconsult.com","","","","",""
"ITMCS – IT Management Consulting & Service GmbH","Thomas Harringer","+43 1 4790220-0","Aumannplatz 1","1180","Wien","SAP-/IT-Beratung","","Recherche","WKO/Herold","2026-08-08","https://www.itmcs.com","","","","",""
"BIConcepts IT Consulting GmbH","Dipl.-Ing. Thomas Gfall","","Schönbrunner Schloßstraße 2/B/7.02","1120","Wien","IT-Beratung","","Recherche","WKO/Herold/Firmenbuch","2026-08-08","https://biconcepts.at","","","","",""
"acolono GmbH","Christian Ziegler, Nico Grienauer","+43 1 305 10 30","Fillgradergasse 12-14/1a","1060","Wien","Webentwicklung (Drupal)","10-49","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.acolono.com","","","","",""
"Wonne Digitalagentur GmbH","Carina Nistl, MA","","Wohllebengasse 4/9","1040","Wien","Digitalagentur / Webentwicklung","1-9","Recherche","WKO/Firmenwebsite","2026-08-08","https://wonne.at","","","","",""
"Fuchsfabrik Digitalagentur GmbH","Florian Fazekas, Daniel Scheuch","+43 660 8370149","Laudongasse 12/9","1080","Wien","Digitalagentur / Webentwicklung","","Recherche","WKO/Firmenwebsite","2026-08-08","https://fuchsfabrik.agency","","","","",""
"mmc Agentur für digitale Kommunikation GmbH","Mag. Martin Motlik","+43 1 391 00 50","Absberggasse 29, Loft 8","1100","Wien","Digitale Kommunikations-/Webagentur","10-49","Recherche","WKO/Firmenwebsite","2026-08-08","https://mmcagentur.at","","","","",""
"LimeSoda Interactive Marketing GmbH","Dr. Philipp Pfaller","+43 5 1740-0","Syringgasse 5","1170","Wien","Webagentur / Interactive Marketing","50-99","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.limesoda.com","","","","",""
"itweb GmbH","Milan Vasic / Dr. Wolfgang Ebner, MBA","+43 1 389 03 89","Obachgasse 10","1220","Wien","Full-Service Webagentur","","Recherche","WKO/Firmenwebsite","2026-08-08","https://itweb.at","","","","",""
"Ameisenhaufen GmbH","Tamas Feldman, MSc","+43 676 688 1139","Rechte Wienzeile 131/5","1050","Wien","Webdesign / Webentwicklung / App","10-49","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.ameisenhaufen.at","","","","",""
"aaa - all about apps GmbH","Magdalena Dainko, Thomas Schramm","+43 1 5471273","Siebenbrunnengasse 17/TOP 3","1050","Wien","App-/Web-/Softwareentwicklung","10-49","Recherche","WKO/karriere.at","2026-08-08","https://www.allaboutapps.at","","","","",""
"Iphos IT Solutions GmbH","Ing. Christoph Wendl, Lyubomir Ivanov","+43 1 8698400","Khekgasse 35","1230","Wien","IT-Dienstleistung / Web-/Softwareentwicklung","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.iphos.com","","","","",""
"Kerkaporta IT Security GmbH","DI Valentin Schuhmann, BSc","+43 664 3697709","Anastasius-Grün-Gasse 17/17","1180","Wien","IT-Security (Audits)","2-10","Recherche","WKO/firmenabc.at","2026-08-08","https://www.kerkaporta.at","","","","",""
"secure IT now GmbH","Stephan Bartl (gewerberechtl. GF)","","Leopold-Ungar-Platz 2, 1. Etage, Stiege 2","1190","Wien","Cybersecurity / Security Consulting","1-9","Recherche","WKO firmen.wko.at","2026-08-08","","","","","",""
"CoreTec IT Security Solutions GmbH","Manfred Kirisits","+43 1 503 72 73-0","Ernst-Melchior-Gasse 24/DG","1020","Wien","IT-Security (ISO 27001)","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.coretec.at","","","","",""
"CRYPTAS it-Security GmbH","DI (FH) Stefan Bumerl","","Franzosengraben 8/4.OG","1030","Wien","IT-Security (PKI)","","Recherche","WKO/Firmenbuch","2026-08-08","https://www.cryptas.com","","","","",""
"IKARUS Security Software GmbH","Josef Pichlmayr","+43 1 58995-0","Blechturmgasse 11","1050","Wien","IT-Security (Security Software)","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.ikarussecurity.com","","","","",""
"eCURA GmbH","Mag. Christian Doppelhofer","+43 1 412 00 12","Flotowgasse 4a","1190","Wien","Cybersecurity / Managed Service Provider","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.ecura.at","","","","",""
"IS4IT Cyber Security Austria GmbH","Manuel Noe, Stephan Kowalsky","+43 676 889854401","Franz-Josefs-Kai 49/Top 19","1010","Wien","Cybersecurity","","Recherche","WKO/Herold","2026-08-08","https://www.is4it.at","","","","",""
"Zettasecure GmbH","Philipp Mandl","","Sterngasse 3/2/6","1010","Wien","Cybersecurity / MSSP","2-10","Recherche","WKO/Herold/LinkedIn","2026-08-08","https://www.zettasecure.com","","","","",""
"Oskar IT GmbH","Oskar Öhlsasser","+43 699 125 62 736","Schulgasse 34/1/9","1180","Wien","Managed Service Provider","","Recherche","WKO/Herold","2026-08-08","https://www.it-dienstleistungen.co.at","","","","",""
"IT-Quadrat EDV Dienstleistungs- und Handels GmbH","Michael Seidl, Andreas Schmidt","+43 1 311 44 00-0","Krongasse 8/2","1050","Wien","IT-Dienstleistung / Systemhaus","","Recherche","WKO/Herold","2026-08-08","https://www.itquadrat.at","","","","",""
"Loidl Consulting & IT Services GmbH","Mag. Herwig Loidl","+43 720 270 790","Hietzinger Kai 133/5.Stock/Top 502","1130","Wien","IT-Beratung / IT-Services","","Recherche","WKO/Herold","2026-08-08","https://www.loidl-consulting.at","","","","",""
"HXS GmbH","Christoph Nimmerrichter, Lorenz Bindhammer","+43 1 344 1 344","Ungargasse 37","1030","Wien","IT-Dienstleistung / MSP","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.hxs.at","","","","",""
"TIMEWARP IT Consulting GmbH","Michael Pambalk-Rieger, Rainer Schneemayer","+43 1 419 14 14","Pfeiffergasse 2/4.OG","1150","Wien","IT-Consulting / Cloud","","Recherche","WKO/Firmenwebsite","2026-08-08","https://timewarp.at","","","","",""
"MP2 IT-Solutions GmbH","Manfred Pascher CMC, Ing. Christoph Kitzler","+43 720 555 955","Hasnerstraße 123/4.OG","1160","Wien","IT-Solutions / IT-Beratung","","Recherche","WKO/Firmenwebsite","2026-08-08","https://www.mp2.at","","","","",""
"PCS IT-Security GmbH","Mario Janeček","+43 1 250 38-0","Burggasse 2/5.2","1070","Wien","IT-Security, Cybersecurity","10-49","Recherche","WKO","2026-08-09","https://www.pcs-it.at","","","","",""
"CertITude Consulting GmbH","DI Markus Philipp Endres","","Ungargasse 64-66/3/404","1030","Wien","Informationssicherheitsberatung, IKT-Risikomanagement","","Recherche","WKO / Herold","2026-08-09","https://certitude.consulting","","","","",""
"SEC Consult Unternehmensberatung GmbH","Clemens Foisner","+43 1 890 30 43-0","Leopold-Ungar-Platz 2/3/3.OG","1190","Wien","Cyber Security & Application Security Consulting","50-249","Recherche","WKO","2026-08-09","https://sec-consult.com","","","","",""
"Materna Radar Cyber Security Austria GmbH","","+43 1 929 12 71-0","Zieglergasse 6, Stiege 3","1070","Wien","Cyber Security / Managed Security Services","","Recherche","WKO / firmeninfo.at","2026-08-09","https://www.radarcs.com","","","","",""
"DAVISEC GmbH","","+43 677 611 84263","Stadlauer Straße 64/1/37","1220","Wien","Cybersicherheitsberatung, Penetration Testing","","Recherche","WKO","2026-08-09","https://www.davisec.at","","","","",""
"slashsec Red Teaming GmbH","DI David Wind, BSc","+43 681 1037 6994","Kärntner Ring 5-7","1010","Wien","IT-Security Consulting, Red Teaming/Pentesting","","Recherche","WKO","2026-08-09","https://slashsec.at","","","","",""
"XSEC infosec GmbH","","+43 699 10242048","Mayerhofgasse 6/5. Stock","1040","Wien","Information Security Consulting","","Recherche","WKO / Herold","2026-08-09","https://www.xsec.at","","","","",""
"TUFO GmbH","Ing. Onur Tuncel","","Kaiserstraße 37/11-13","1070","Wien","Cyber-Security-Beratung, IT-Security-Audits","","Recherche","WKO","2026-08-09","https://tufo.at","","","","",""
"SBA Research gGmbH","","+43 1 505 36 88","Floragasse 7","1040","Wien","Informationssicherheitsforschung & -beratung","100-249","Recherche","WKO / Firmenwebsite","2026-08-09","https://www.sba-research.org","","","","",""
"CYBERCONTACT-CERT GmbH","Alexander Franz","+43 1 96266","Hütteldorfer Straße 130b/2/6/42","1140","Wien","Informationssicherheit, IT-Security, Cyber Defence","","Recherche","WKO","2026-08-09","https://www.cybercontact.at","","","","",""
"DSGVO-ZT GmbH","Wolfgang Fiala, Peter Gelber","+43 676 4806300","Haselbrunnerstraße 14","1230","Wien","Datenschutzberatung, DSGVO-Zertifizierung","","Recherche","WKO / Herold","2026-08-09","https://www.dsgvo-zt.at","","","","",""
"room4 Softwareentwicklung GmbH","Markus Reiter, Andreas Spieler","","Trattnerhof 2/104","1010","Wien","Softwareentwicklung (Gesundheits-/Praxissoftware)","","Recherche","WKO/Firmenbuch","2026-08-09","","","","","",""
"Compax Software Development GmbH","Leopold Kojeder","+43 699 16805180","Wienerbergstraße 3-5/Top 4","1100","Wien","Softwareentwicklung (Telekom-/BSS-OSS-Software)","","Recherche","Firmenwebsite","2026-08-09","https://compax.com","","","","",""
"Functional Software GmbH","Todd R. Bazakas","","Jakov-Lind-Straße 5/4.OG","1020","Wien","Softwareentwicklung (Programmierung)","","Recherche","WKO/Firmenbuch","2026-08-09","https://sentry.io","","","","",""
"Irian Solutions Softwareentwicklungs- & Beratungsgesellschaft mbH","Martin Marinschek, Thomas Spiegl","+43 1 89053030","Hörnesgasse 20","1030","Wien","Softwareentwicklung (Banken/Versicherungen)","","Recherche","Firmenwebsite","2026-08-09","https://irian.com","","","","",""
"s-team IT solutions GmbH","Dr. Albert Schaffner","+43 1 9343523","Sechskrügelgasse 12/2+9","1030","Wien","IT-Dienstleistung/Softwareentwicklung","","Recherche","Firmenwebsite","2026-08-09","https://s-team.at","","","","",""
"HLW Software Development GmbH","Peter Honeder, Michael Lacher","","Adambergergasse 1/24","1020","Wien","Softwareentwicklung (Remote-Access-Software)","","Recherche","WKO/Firmenbuch","2026-08-09","https://hlw-software.com","","","","",""
"IT Softwareentwicklungs- und Vertriebs Ges.m.b.H. (ITcompany)","Helmut Lettner","+43 50 183","Geweygasse 4a/3/15","1190","Wien","Softwareentwicklung/IT-Dienstleistung (Finanzsektor)","","Recherche","Firmenwebsite","2026-08-09","https://www.itcompany.at","","","","",""
"codecan solutions GmbH","Peter-Paul Kremser, Ulf Reischitz","+43 676 5583123","Rechte Wienzeile 225/Stiege D/Top 601","1120","Wien","Softwareentwicklung (Web/Apps)","","Recherche","Firmenwebsite","2026-08-09","https://codecan.solutions","","","","",""
"Comfident EDV-Dienstleistungs GmbH","Thomas Antony, Christian Leitner","+43 1 2784193","Hirschstettner Straße 19-21/Obj. Z","1220","Wien","IT-Dienstleistung (EDV-Betreuung KMU)","","Recherche","Firmenwebsite","2026-08-09","https://www.comfident.at","","","","",""
"unite - Software Development GmbH","Jakob Schindler-Scholz, Carmen Fröwis, Franz Joseph Mayr-Wilding","","Europaplatz 2/1/2","1150","Wien","Softwareentwicklung (Web/App/IoT)","1-9","Recherche","Firmenwebsite/Firmenbuch","2026-08-09","https://www.unite.co.at","","","","",""
"BeKa Software GmbH","Christian Weiss, Klaus Hagenauer","+43 720 901348","Donau-City-Straße 7","1220","Wien","IT-Dienstleistung/Softwareentwicklung","","Recherche","Firmenbuch/WKO","2026-08-09","https://www.beka-software.at","","","","",""
"BEYOND IT SOLUTIONS GmbH","Tobias Toifl","+43 664 4001851","Peter-Jordanstraße 81/4","1180","Wien","Softwareentwicklung/IT-Dienstleistung","1-9","Recherche","Firmenwebsite/Herold","2026-08-09","https://www.beyond-it-solutions.at","","","","",""
"3-S-IT Dienstleistungen GmbH","Julia Widy, Georg Lankmayr","+43 1 72540","Johann-Böhm-Platz 1","1020","Wien","IT-Dienstleistung (Softwareentwicklung, BPM, Data Center)","","Recherche","Firmenwebsite/WKO","2026-08-09","https://3-s.at","","","","",""
"Evolving Technologies GmbH","Mario Malits","+43 1 3248367-00","Schönbrunner Schloßstraße 5/Top 8","1120","Wien","Softwareentwicklung","","Recherche","Firmenwebsite","2026-08-09","https://www.evol-tec.com","","","","",""
"CIIT GmbH","","+43 1 3750204","Haymerlegasse 32","1160","Wien","Softwareentwicklung","10-49","Recherche","Firmenwebsite/Herold","2026-08-09","https://ciit-software.com","","","","",""
"Simplexx Web Solutions GmbH","Christoph Meleschnig, Matthias Meleschnig","0650 3210 822","Jordangasse 7/3","1010","Wien","Online-Marketing-/Webagentur","1-9","Recherche","Firmenabc/Herold/Firmenwebsite","2026-08-09","https://www.simplexx.at","","","","",""
"functn GmbH","Philip Ehrenfellner, Christoph Peter","+43 1 997 17 42","Mariahilfer Straße 1b/6","1060","Wien","Digitalagentur/Webdesign","1-9","Recherche","Firmenwebsite","2026-08-09","https://www.functn.com","","","","",""
"Code Q Web Factory GmbH","Roland Schütz BSc","+43 676 451 67 31","Mariahilfer Straße 126/20","1070","Wien","Webentwicklung/Digitalagentur","1-9","Recherche","WKO Firmen A-Z","2026-08-09","https://codeq.at","","","","",""
"apptec GmbH","","+43 1 890 891 1","Slamastraße 43","1230","Wien","App-Entwicklung","10-49","Recherche","Firmenwebsite","2026-08-09","https://apptec.at","","","","",""
"inconcepts marketing gmbh","Clemens Graf","+43 1 97 11 325","Leopold-Rister-Gasse 5/109","1050","Wien","E-Commerce-/Online-Marketing-Agentur","","Recherche","WKO Firmen A-Z","2026-08-09","https://www.inconcepts.at","","","","",""
"medani gmbh","DI Omar Medani","+43 1 95 787 40","Leopold-Ungar-Platz 2","1190","Wien","Digitalagentur/E-Commerce","","Recherche","WKO Firmen A-Z","2026-08-09","https://www.medani.at","","","","",""
"Kodlogy Technologies GmbH","Armagan Özkaya","+43 660 5403636","Kaiser-Ebersdorfer-Straße 81/2","1110","Wien","Webdesign-/App-Agentur","","Recherche","WKO Firmen A-Z/Firmenwebsite","2026-08-09","https://www.kodlogy.at","","","","",""
"expenia gmbh","Hüseyin Erdogan","+43 1 35 35 843","Porzellangasse 33a/3/1","1090","Wien","Webentwicklung/Webdesign","","Recherche","WKO Firmen A-Z","2026-08-09","https://www.expenia.at","","","","",""
"LWND Kreativagentur GmbH (vormals TUNNEL23 Werbeagentur GmbH)","Diego del Pozo, Melanie Fischer MA","+43 1 3681680","Goldschlagstraße 172/2/DG","1140","Wien","Digitalagentur/Werbeagentur","","Recherche","WKO Firmen A-Z","2026-08-09","https://lwnd.com","","","","",""
"Gluescreen GmbH","Sven Kessel","","Weihburggasse 21/13","1010","Wien","Digitalagentur","","Recherche","WKO Firmen A-Z","2026-08-09","https://digitalagenturwien.at","","","","",""
"AGENTUR.STUDIO GmbH","Kabir Sokullu, MA","+43 670 1868807","Am Kanal 27/2/0/1","1110","Wien","Digital-/Werbeagentur","","Recherche","WKO Firmen A-Z/Firmenwebsite","2026-08-09","https://agentur.studio","","","","",""
"LEAN-CODERS GmbH","Christoph Ott, Stefan Wöhrer, Florian Bacher","","Hainburger Straße 33","1030","Wien","Webentwicklung/App-Entwicklung (React)","","Recherche","WKO Firmen A-Z","2026-08-09","https://lean-coders.at","","","","",""
"IT-Systeme und Consulting GmbH","Mag. Christiaan Witschel, Nikolaus Roth","+43 1 2859888-0","Hosnedlgasse 16A","1220","Wien","Systemhaus / Systemintegration","10-49","Recherche","WKO / Firmenwebsite","2026-08-09","https://www.itsc.at","","","","",""
"next layer Telekommunikationsdienstleistungs- und Beratungs GmbH","Georg Chytil","+43 51764 0","Mariahilfer Gürtel 37/7","1150","Wien","Cloud-Dienstleister / IT-Beratung","10-49","Recherche","Firmenwebsite (Impressum)","2026-08-09","https://www.nextlayer.at","","","","",""
"Bacher Systems EDV GmbH","Nicolai Czink, Elvira Cejna","+43 1 60126-0","Wienerbergstraße 11/B9","1100","Wien","IT-Systemhaus / IT-Beratung","","Recherche","Firmenwebsite (Impressum) / WKO","2026-08-09","https://www.bacher.at","","","","",""
"cellent GmbH","Kenneth Lindstroem","+43 1 532 78 03-0","Lassallestraße 7b","1020","Wien","IT-Beratung / SAP-Systemhaus","","Recherche","Firmenwebsite (Impressum) / FirmenABC","2026-08-09","https://www.cellent.at","","","","",""
"SoftwareOne Österreich GmbH","Mag. Dr. Hannes Pfneiszl","+43 1 878100","Obere Donaustraße 95","1020","Wien","Cloud-Dienstleister / IT-Beratung","","Recherche","WKO / Firmenbuch","2026-08-09","https://www.softwareone.com","","","","",""
"techmar IT-Solutions GmbH","","+43 720 22 10 08","Kohlmarkt 8-10","1010","Wien","Managed Service Provider / IT-Beratung","","Recherche","Herold / Firmenwebsite","2026-08-09","https://www.techmar.at","","","","",""
"CWI Cyber World Informationstechnologie GmbH","Mag. Andreas Bichlmaier, Markus Hoffelner","+43 1 2409055-0","Muthgasse 36","1190","Wien","Managed Service Provider / IT-Lösungen","","Recherche","Firmenwebsite (Impressum)","2026-08-09","https://www.cwi.at","","","","",""
"techbold secure IT GmbH","Mag. Gerald Reitmayr","+43 59 555","Dresdner Straße 89","1200","Wien","Managed Service Provider / IT-Betreuung","","Recherche","Firmenwebsite / Herold","2026-08-09","https://www.techbold.at","","","","",""
"Bechtle Austria GmbH","Thomas Kast, Daniel Knözinger, Robert Öfferl","+43 5 7004-0","Technologiestraße 8","1120","Wien","IT-Systemhaus","","Recherche","Firmenwebsite / Firmenbuch","2026-08-09","https://www.bechtle.com/at","","","","",""
"All for One Austria GmbH","Dalibor Kukić","+43 1 2197202-0","Rothschildplatz 3","1020","Wien","IT-Beratung (SAP/ERP-Consulting)","","Recherche","Firmenwebsite (Impressum) / WKO","2026-08-09","https://www.allforone.at","","","","",""
"T-Systems Austria GesmbH","Mag. Gertrud Götze, Ing. Michael Böhm","","Rennweg 97-99","1030","Wien","Cloud-Dienstleister / IT-Systemhaus","","Recherche","WKO / Firmenbuch","2026-08-09","https://www.t-systems.at","","","","",""
"Bundesrechenzentrum Gesellschaft mit beschränkter Haftung (BRZ GmbH)","Ing. Roland Ledinger, Mag.a Christine Sumper-Billinger","+43 1 71123-0","Hintere Zollamtsstraße 4","1030","Wien","IT-Systemhaus / Managed Services (öffentlicher Sektor)","","Recherche","Firmenwebsite (Impressum) / WKO","2026-08-09","https://www.brz.gv.at","","","","",""
"Sphinx Managed Services GmbH","Mag. Friedrich Ebner, Dipl.Ing. Ingrid Kriegl, Mag.Dr. Thomas Petrik, Bernd Schellnast","+43 1 599 31-0","Aspernbrückengasse 2","1020","Wien","Managed Service Provider","","Recherche","WKO","2026-08-16","https://www.sphinx.at","","","","",""
"Alphanet Service Provider GmbH","Mahmoud Al-Majali","+43 1 604 01 64","Gudrunstraße 134/3-4","1100","Wien","IT-Dienstleistung / Apple Service Partner","","Recherche","WKO","2026-08-16","https://www.alphanet.co.at","","","","",""
"Netzware Handels- und IT-Dienstleistungs GmbH","Florian Ivo, Dietmar Guelfenburg","+43 1 357 77 77","Davidgasse 85-89","1100","Wien","IT-Systemhaus / Netzwerktechnik","10-49","Recherche","Firmenwebsite","2026-08-16","https://www.netzware.at","","","","",""
"Widermann GmbH Computer Systeme & Netzwerke","Stefan Widermann","+43 1 485 28 75","Tautenhayngasse 5","1150","Wien","IT-Systemhaus / Netzwerktechnik","","Recherche","Herold","2026-08-16","https://www.widermann.at","","","","",""
"EDV-Design Informationstechnologie GmbH","Ing. Robert Kibler","+43 1 292 21 65-0","Giefinggasse 6","1210","Wien","IT-Infrastruktur (Server/SAN/Backup)","","Recherche","Firmenwebsite","2026-08-16","https://www.edv-design.at","","","","",""
"EDV 2000 Systembetreuung GmbH","Gerhard Tögel","+43 1 812 67 680","Bonygasse 40/Top 2","1120","Wien","IT-Systemhaus","","Recherche","Herold","2026-08-16","https://www.edv2000.net","","","","",""
"TrendMind IT Dienstleistung GmbH","Dr. Christoph Kienel","+43 1 361 82 17-0","Othmargasse 11","1200","Wien","IT-Dienstleistung / IT-Consulting","","Recherche","WKO","2026-08-16","https://www.trendmind.at","","","","",""
"CLS IT Infrastruktur und Distribution GmbH","Roland Saupp","+43 1 614 660","Zetschegasse 13","1230","Wien","IT-Infrastruktur / IT-Distribution","","Recherche","Herold","2026-08-16","https://www.cls.at","","","","",""
"Service Provider.at GmbH","Ing. Gerhard Freywald","+43 1 615 40 00","Ernst-Krenek-Gasse 4","1230","Wien","Managed Service Provider (IT/TK)","10-49","Recherche","WKO","2026-08-16","https://www.serviceprovider.at","","","","",""
"neripo IT Dienstleistung GmbH","Olaf Rieder","+43 664 430 48 49","Hütteldorfer Straße 56/27","1150","Wien","IT-Dienstleistung / Managed Services","","Recherche","Firmenwebsite","2026-08-16","https://www.neripo.com","","","","",""
"upstreamNet Communications GmbH","Mag. Thomas Widder","+43 5 01 82 18-0","Ruckergasse 30-32","1120","Wien","Rechenzentrum / Cloud-Services","","Recherche","WKO","2026-08-16","https://www.upstreamnet.at","","","","",""
"Internet Viennaweb Service GmbH","Johann Baldermann","+43 1 9564606","Perfektastraße 21/2/30","1230","Wien","Webentwicklung/Webhosting","","Recherche","WKO/Firmenwebsite","2026-08-16","https://www.viennaweb.at","","","","",""
